customer_id,store_region,membership_tier,purchase_channel,membership_years,annual_spend,satisfaction_score
CUST0038,Sjælland,Bronze,Online,1.6,15900,4
CUST0039,Syddanmark,Bronze,Online,2.2,10700,4
CUST0040,Nordjylland,Bronze,Online,8.5,6800,4
CUST0041,Sjælland,Bronze,Online,2.6,7400,3
CUST0042,Midtjylland,Gold,Online,12.0,107300,5
CUST0043,Fyn,Bronze,Online,3.5,3400,5
CUST0044,Hovedstaden,Platinum,In-store,4.6,37100,4
CUST0045,Fyn,Bronze,In-store,10.0,18800,5
CUST0046,Hovedstaden,Platinum,Online,3.8,46100,5
CUST0047,Sjælland,Platinum,Online,1.8,27800,4
CUST0048,Midtjylland,Platinum,In-store,3.3,37900,4
CUST0049,Hovedstaden,Gold,In-store,3.4,29200,4
CUST0050,Sjælland,Gold,Online,1.4,35000,5
CUST0051,Syddanmark,Silver,In-store,3.0,14700,2
CUST0052,Fyn,Gold,In-store,2.2,21000,4
CUST0053,Hovedstaden,Bronze,Online,6.4,13200,5
CUST0054,Hovedstaden,Silver,Online,3.6,33200,3
CUST0055,Nordjylland,Bronze,In-store,2.9,7600,5
CUST0056,Midtjylland,Gold,Online,3.3,18100,4
CUST0057,Sjælland,Silver,In-store,4.0,17400,5
CUST0058,Sjælland,Bronze,Online,5.2,7900,5
CUST0059,Hovedstaden,Gold,In-store,1.8,22900,3
CUST0060,Midtjylland,Bronze,In-store,1.8,19400,5
CUST0061,Fyn,Bronze,In-store,7.2,28100,3
CUST0062,Hovedstaden,Silver,In-store,2.7,11600,4
CUST0063,Midtjylland,Silver,Online,1.4,13200,4
CUST0064,Midtjylland,Bronze,In-store,4.7,26000,5
CUST0065,Sjælland,Bronze,In-store,4.7,6300,1
CUST0066,Hovedstaden,Silver,In-store,1.3,12000,3
CUST0067,Hovedstaden,Silver,Online,4.1,30600,4
CUST0068,Fyn,Bronze,Online,5.6,21800,4
CUST0069,Nordjylland,Silver,Online,4.5,21700,4
CUST0070,Sjælland,Bronze,In-store,5.3,51000,2
CUST0071,Hovedstaden,Platinum,In-store,1.4,36800,3
CUST0072,Nordjylland,Gold,In-store,4.3,28500,5
CUST0073,Nordjylland,Bronze,In-store,2.9,56300,1
CUST0074,Nordjylland,Bronze,Online,2.6,10000,4
CUST0075,Sjælland,Silver,Online,6.2,16000,5
CUST0076,Sjælland,Gold,In-store,9.2,48100,2
CUST0077,Sjælland,Silver,In-store,11.2,58500,4
CUST0078,Syddanmark,Gold,Online,8.2,28400,3
CUST0079,Midtjylland,Silver,In-store,3.3,11500,5
CUST0080,Nordjylland,Silver,In-store,4.4,58900,4
CUST0081,Hovedstaden,Silver,In-store,5.8,29400,5
CUST0082,Nordjylland,Silver,In-store,3.8,11400,3
CUST0083,Hovedstaden,Bronze,In-store,3.8,27500,4
CUST0084,Fyn,Silver,In-store,6.0,21300,5
CUST0085,Sjælland,Gold,In-store,3.4,19100,3
CUST0086,Hovedstaden,Bronze,Online,2.2,19200,3
CUST0087,Syddanmark,Silver,In-store,2.7,9500,1
CUST0088,Sjælland,Bronze,In-store,5.3,22000,5
CUST0089,Hovedstaden,Gold,Online,3.5,50500,4
CUST0090,Fyn,Bronze,Online,4.4,20300,4
CUST0091,Hovedstaden,Platinum,Online,5.4,38500,4
CUST0092,Nordjylland,Bronze,In-store,2.7,8600,4
CUST0093,Midtjylland,Platinum,Online,5.7,36400,4
CUST0094,Hovedstaden,Gold,In-store,4.5,24600,4
CUST0095,Sjælland,Silver,In-store,1.6,11300,4
CUST0096,Hovedstaden,Gold,Online,8.9,62200,3
CUST0097,Midtjylland,Gold,In-store,2.5,13100,5
CUST0098,Hovedstaden,Platinum,Online,1.2,39400,5
CUST0099,Fyn,Bronze,In-store,1.8,8800,3
CUST0100,Sjælland,Silver,Online,1.8,15900,4
CUST0101,Hovedstaden,Bronze,In-store,3.6,11400,3
CUST0102,Syddanmark,Silver,In-store,2.9,29400,5
CUST0103,Nordjylland,Bronze,In-store,2.8,23900,5
CUST0104,Syddanmark,Silver,In-store,5.2,33300,5
CUST0105,Hovedstaden,Gold,Online,4.4,17700,3
CUST0106,Midtjylland,Silver,In-store,4.3,28200,3
CUST0107,Syddanmark,Silver,In-store,4.6,23400,3
CUST0108,Nordjylland,Silver,Online,5.2,9200,2
CUST0109,Sjælland,Gold,Online,0.9,16600,2
CUST0110,Syddanmark,Silver,In-store,2.8,18400,2
CUST0111,Sjælland,Silver,In-store,0.8,15300,5
CUST0112,Syddanmark,Platinum,Online,3.6,36100,2
CUST0113,Fyn,Bronze,Online,3.5,16200,3
CUST0114,Syddanmark,Bronze,Online,6.9,52800,5
CUST0115,Hovedstaden,Bronze,Online,7.6,54100,4
CUST0116,Fyn,Silver,Online,4.0,6000,5
CUST0117,Sjælland,Bronze,In-store,2.5,10300,4
CUST0118,Nordjylland,Silver,In-store,4.8,16900,5
CUST0119,Hovedstaden,Gold,In-store,2.5,15600,4
CUST0120,Syddanmark,Bronze,Online,3.5,15200,4
CUST0121,Midtjylland,Gold,Online,6.6,52000,4
CUST0122,Hovedstaden,Gold,In-store,2.4,17400,4
CUST0123,Sjælland,Bronze,In-store,5.9,23900,3
CUST0124,Syddanmark,Bronze,In-store,5.4,11800,4
CUST0125,Syddanmark,Bronze,Online,1.9,8400,3
CUST0126,Syddanmark,Bronze,In-store,6.6,50600,5
CUST0127,Midtjylland,Bronze,In-store,5.5,15000,3
CUST0128,Nordjylland,Gold,In-store,3.7,24500,3
CUST0129,Midtjylland,Silver,In-store,2.1,8100,3
CUST0130,Syddanmark,Bronze,In-store,2.0,31600,5
CUST0131,Fyn,Silver,In-store,2.5,19000,3
CUST0132,Midtjylland,Silver,In-store,5.0,19300,4
CUST0133,Midtjylland,Platinum,In-store,1.9,36100,5
CUST0134,Hovedstaden,Gold,In-store,4.7,18500,2
CUST0135,Sjælland,Silver,In-store,1.6,22600,5
CUST0136,Hovedstaden,Silver,In-store,3.1,17100,3
CUST0137,Midtjylland,Platinum,Online,3.8,34100,3
CUST0138,Hovedstaden,Gold,In-store,12.0,48000,4
CUST0139,Sjælland,Platinum,In-store,1.4,27700,5
CUST0140,Syddanmark,Bronze,In-store,9.1,47600,3
CUST0141,Nordjylland,Gold,In-store,3.9,23000,4
CUST0142,Midtjylland,Silver,In-store,4.6,26900,3
CUST0143,Fyn,Bronze,In-store,3.8,14300,4
CUST0144,Fyn,Silver,Online,4.7,24300,4
CUST0145,Syddanmark,Silver,In-store,3.2,13700,4
CUST0146,Fyn,Bronze,In-store,9.0,110500,4
CUST0147,Midtjylland,Silver,In-store,2.6,9100,3
CUST0148,Syddanmark,Gold,In-store,7.3,56800,4
CUST0149,Midtjylland,Bronze,In-store,2.3,25700,4
CUST0150,Sjælland,Silver,Online,3.4,11300,4
CUST0151,Fyn,Bronze,Online,1.7,36200,2
CUST0152,Hovedstaden,Silver,In-store,4.7,34700,4
CUST0153,Fyn,Gold,In-store,9.0,61000,4
CUST0154,Syddanmark,Gold,In-store,3.3,21300,2
CUST0155,Hovedstaden,Bronze,In-store,3.1,15300,3
CUST0156,Fyn,Platinum,Online,1.7,29500,4
CUST0157,Hovedstaden,Platinum,In-store,3.0,39600,4
CUST0158,Sjælland,Bronze,In-store,1.2,21400,3
CUST0159,Syddanmark,Gold,Online,1.9,19800,5
CUST0160,Sjælland,Bronze,In-store,4.1,9400,4
CUST0161,Sjælland,Platinum,In-store,8.2,64200,5
CUST0162,Hovedstaden,Gold,Online,12.0,93700,4
CUST0163,Nordjylland,Silver,In-store,2.4,18500,4
CUST0164,Syddanmark,Bronze,In-store,8.9,47500,4
CUST0165,Fyn,Gold,In-store,4.1,20000,5
CUST0166,Sjælland,Bronze,Online,3.2,8300,4
CUST0167,Sjælland,Bronze,In-store,4.6,10300,4
CUST0168,Hovedstaden,Bronze,In-store,3.6,9700,4
CUST0169,Syddanmark,Gold,In-store,3.8,24100,4
CUST0170,Sjælland,Bronze,In-store,2.7,11900,2
CUST0171,Syddanmark,Platinum,In-store,1.4,28800,4
CUST0172,Nordjylland,Silver,In-store,1.3,4200,4
CUST0173,Syddanmark,Bronze,In-store,5.4,10000,5
CUST0174,Syddanmark,Bronze,In-store,2.9,24100,4
CUST0175,Midtjylland,Bronze,Online,2.4,9500,4
CUST0176,Hovedstaden,Gold,In-store,3.5,27500,5
CUST0177,Midtjylland,Gold,Online,5.9,17500,4
CUST0178,Sjælland,Bronze,Online,3.9,32600,3
CUST0179,Fyn,Gold,In-store,2.3,17700,3
CUST0180,Sjælland,Bronze,Online,7.8,30900,2
CUST0181,Hovedstaden,Gold,Online,9.8,130000,1
CUST0182,Fyn,Platinum,In-store,4.8,58800,4
CUST0183,Hovedstaden,Gold,Online,6.6,29100,5
CUST0184,Hovedstaden,Gold,In-store,7.8,29500,4
CUST0185,Sjælland,Gold,Online,7.3,27400,1
CUST0186,Sjælland,Bronze,Online,5.2,23700,4
CUST0187,Hovedstaden,Bronze,In-store,5.2,20400,3
CUST0188,Midtjylland,Bronze,Online,4.9,14900,5
CUST0189,Nordjylland,Bronze,In-store,1.7,22900,3
CUST0190,Fyn,Silver,Online,5.5,19900,4
CUST0191,Hovedstaden,Gold,Online,1.4,46700,3
CUST0192,Nordjylland,Gold,In-store,2.1,18000,4
CUST0193,Hovedstaden,Bronze,In-store,8.2,79600,4
CUST0194,Hovedstaden,Gold,In-store,6.0,35000,5
CUST0195,Midtjylland,Bronze,In-store,9.2,56600,3
CUST0196,Midtjylland,Bronze,In-store,2.9,9800,5
CUST0197,Sjælland,Silver,In-store,1.7,9500,4
CUST0198,Sjælland,Platinum,In-store,3.0,36700,5
CUST0199,Midtjylland,Silver,In-store,3.7,28200,5
CUST0200,Hovedstaden,Bronze,Online,3.7,18200,5
CUST0201,Midtjylland,Silver,Online,7.3,15700,3
CUST0202,Nordjylland,Bronze,Online,2.8,5300,3
CUST0203,Sjælland,Gold,In-store,4.4,14600,3
CUST0204,Hovedstaden,Gold,Online,1.8,15100,3
CUST0205,Syddanmark,Bronze,In-store,4.7,18200,4
CUST0206,Syddanmark,Bronze,In-store,3.5,26300,5
CUST0207,Syddanmark,Bronze,In-store,2.1,11900,5
CUST0208,Syddanmark,Platinum,Online,3.0,24800,4
CUST0209,Syddanmark,Silver,In-store,3.1,14900,4
CUST0210,Fyn,Gold,In-store,2.9,18600,5
CUST0211,Sjælland,Silver,Online,11.1,130000,5
CUST0212,Midtjylland,Silver,In-store,3.3,9900,3
CUST0213,Nordjylland,Bronze,In-store,3.0,9600,4
CUST0214,Midtjylland,Platinum,Online,0.9,45200,5
CUST0215,Midtjylland,Bronze,In-store,2.0,15300,3
CUST0216,Fyn,Silver,In-store,2.9,19700,4
CUST0217,Syddanmark,Silver,Online,2.2,15300,5
CUST0218,Hovedstaden,Gold,Online,8.6,46100,5
CUST0219,Sjælland,Platinum,In-store,3.1,40100,5
CUST0220,Sjælland,Bronze,Online,8.1,17600,5
CUST0221,Syddanmark,Silver,In-store,3.6,25900,3
CUST0222,Sjælland,Bronze,In-store,3.6,7000,3
CUST0223,Hovedstaden,Silver,Online,3.3,22200,4
CUST0224,Sjælland,Bronze,In-store,3.5,15400,4
CUST0225,Nordjylland,Bronze,In-store,10.7,27800,4
CUST0226,Hovedstaden,Silver,Online,0.8,15400,4
CUST0227,Nordjylland,Bronze,In-store,1.0,6200,4
CUST0228,Hovedstaden,Silver,Online,2.5,13000,4
CUST0229,Hovedstaden,Gold,In-store,3.5,22100,3
CUST0230,Hovedstaden,Gold,Online,5.5,20900,3
CUST0231,Syddanmark,Silver,In-store,4.8,23100,2
CUST0232,Midtjylland,Silver,In-store,2.7,10400,3
CUST0233,Fyn,Bronze,In-store,6.8,33400,5
CUST0234,Midtjylland,Silver,In-store,6.8,15500,4
CUST0235,Midtjylland,Bronze,Online,3.9,12000,3
CUST0236,Nordjylland,Bronze,Online,6.5,14400,5
CUST0237,Hovedstaden,Silver,Online,4.2,38000,4
CUST0238,Sjælland,Silver,Online,2.4,16800,1
CUST0239,Midtjylland,Bronze,Online,5.5,17700,3
CUST0240,Fyn,Silver,In-store,3.8,21400,3
CUST0241,Nordjylland,Bronze,In-store,3.5,3900,4
CUST0242,Midtjylland,Gold,In-store,9.1,39100,3
CUST0243,Sjælland,Silver,Online,0.7,30100,2
CUST0244,Nordjylland,Silver,In-store,1.4,12600,2
CUST0245,Syddanmark,Bronze,In-store,1.6,11600,4
CUST0246,Syddanmark,Gold,In-store,2.8,24500,1
CUST0247,Sjælland,Silver,Online,3.0,23600,5
CUST0248,Hovedstaden,Silver,In-store,1.3,9900,3
CUST0249,Hovedstaden,Gold,Online,1.8,15300,4
CUST0250,Syddanmark,Bronze,In-store,2.0,13100,4
CUST0251,Syddanmark,Silver,Online,12.0,36100,4
CUST0252,Midtjylland,Gold,In-store,11.3,101400,2
CUST0253,Hovedstaden,Platinum,In-store,2.7,34100,5
CUST0254,Syddanmark,Platinum,Online,2.8,25300,5
CUST0255,Hovedstaden,Silver,Online,1.7,11700,1
CUST0256,Sjælland,Silver,In-store,1.0,5300,3
CUST0257,Sjælland,Gold,In-store,3.2,18800,5
CUST0258,Hovedstaden,Silver,Online,1.8,16000,4
CUST0259,Hovedstaden,Platinum,Online,3.3,34400,3
CUST0260,Fyn,Silver,In-store,1.2,20200,3
CUST0261,Hovedstaden,Bronze,In-store,2.1,25300,4
CUST0262,Midtjylland,Bronze,Online,3.9,14500,4
CUST0263,Syddanmark,Gold,Online,4.4,12900,4
CUST0264,Midtjylland,Bronze,Online,4.6,24000,5
CUST0265,Midtjylland,Bronze,In-store,1.5,15100,4
CUST0266,Midtjylland,Bronze,In-store,6.1,25200,3
CUST0267,Syddanmark,Bronze,Online,2.1,19900,4
CUST0268,Nordjylland,Bronze,Online,5.3,8800,4
CUST0269,Syddanmark,Gold,Online,3.5,49700,3
CUST0270,Hovedstaden,Bronze,In-store,1.4,9900,2
CUST0271,Sjælland,Gold,In-store,2.8,25900,4
CUST0272,Midtjylland,Gold,Online,4.4,14700,4
CUST0273,Midtjylland,Bronze,In-store,5.2,11900,1
CUST0274,Nordjylland,Bronze,Online,3.2,29700,4
CUST0275,Syddanmark,Silver,In-store,9.5,32300,4
CUST0276,Hovedstaden,Bronze,Online,6.7,39100,4
CUST0277,Nordjylland,Bronze,Online,3.0,13800,5
CUST0278,Midtjylland,Platinum,In-store,5.7,39200,5
CUST0279,Hovedstaden,Platinum,In-store,12.0,130000,4
CUST0280,Hovedstaden,Gold,Online,12.0,53700,2
CUST0281,Fyn,Bronze,In-store,1.6,4300,4
CUST0282,Midtjylland,Silver,In-store,1.9,10900,4
CUST0283,Syddanmark,Silver,In-store,9.2,47100,3
CUST0284,Sjælland,Bronze,Online,1.8,13500,2
CUST0285,Nordjylland,Silver,In-store,1.5,6400,3
CUST0286,Midtjylland,Bronze,In-store,2.6,9500,4
CUST0287,Hovedstaden,Bronze,In-store,4.6,15500,4
CUST0288,Hovedstaden,Silver,In-store,3.3,17200,3
CUST0289,Midtjylland,Bronze,In-store,2.3,6900,5
CUST0290,Syddanmark,Bronze,In-store,2.3,9000,5
CUST0291,Hovedstaden,Platinum,Online,2.2,31500,3
CUST0292,Sjælland,Platinum,In-store,2.0,37100,5
CUST0293,Hovedstaden,Gold,Online,12.0,88600,1
CUST0294,Hovedstaden,Platinum,In-store,4.2,37800,5
CUST0295,Midtjylland,Platinum,In-store,6.2,37700,5
CUST0296,Hovedstaden,Bronze,Online,2.5,16600,1
CUST0297,Syddanmark,Silver,Online,3.1,11600,5
CUST0298,Fyn,Bronze,In-store,2.2,6300,5
CUST0299,Hovedstaden,Bronze,In-store,0.6,9300,5
CUST0300,Fyn,Gold,In-store,1.4,14300,5
CUST0301,Syddanmark,Silver,In-store,1.1,8600,4
CUST0302,Hovedstaden,Silver,In-store,0.8,16400,2
CUST0303,Midtjylland,Bronze,In-store,1.6,16700,5
CUST0304,Fyn,Bronze,In-store,8.3,11800,4
CUST0305,Midtjylland,Platinum,In-store,3.4,35000,4
CUST0306,Fyn,Bronze,Online,8.1,24100,4
CUST0307,Sjælland,Bronze,Online,4.6,19700,4
CUST0308,Syddanmark,Bronze,In-store,5.8,19900,3
CUST0309,Hovedstaden,Silver,In-store,1.9,11400,4
CUST0310,Nordjylland,Silver,In-store,4.9,10300,2
CUST0311,Syddanmark,Silver,In-store,5.6,22300,4
CUST0312,Hovedstaden,Bronze,Online,2.4,24300,5
CUST0313,Fyn,Bronze,Online,5.0,5400,4
CUST0314,Hovedstaden,Platinum,Online,5.1,44800,4
CUST0315,Fyn,Silver,Online,2.4,25000,3
CUST0316,Hovedstaden,Gold,Online,1.7,20500,5
CUST0317,Midtjylland,Silver,Online,1.6,17800,4
CUST0318,Midtjylland,Gold,In-store,3.7,17900,4
CUST0319,Syddanmark,Bronze,In-store,4.3,15200,3
CUST0320,Fyn,Bronze,In-store,2.1,4900,3
CUST0321,Hovedstaden,Silver,Online,3.6,10400,4
CUST0322,Fyn,Bronze,In-store,5.1,29400,5
CUST0323,Sjælland,Gold,Online,5.2,17600,4
CUST0324,Midtjylland,Silver,In-store,9.6,30200,3
CUST0325,Syddanmark,Gold,In-store,8.0,20200,5
CUST0326,Hovedstaden,Platinum,In-store,1.8,28900,4
CUST0327,Fyn,Silver,In-store,10.5,38000,5
CUST0328,Fyn,Gold,In-store,2.5,15100,3
CUST0329,Hovedstaden,Gold,Online,6.9,38800,4
CUST0330,Syddanmark,Gold,In-store,3.7,25900,5
CUST0331,Hovedstaden,Silver,Online,2.7,20800,3
CUST0332,Hovedstaden,Silver,In-store,1.1,17300,4
CUST0333,Midtjylland,Silver,In-store,3.1,34800,5
CUST0334,Syddanmark,Bronze,In-store,1.3,6500,3
CUST0335,Midtjylland,Silver,Online,6.6,24800,2
CUST0336,Nordjylland,Gold,Online,9.4,69100,4
CUST0337,Hovedstaden,Gold,In-store,2.1,33100,3
CUST0338,Hovedstaden,Bronze,Online,4.3,11000,2
CUST0339,Fyn,Bronze,In-store,2.2,9700,4
CUST0340,Syddanmark,Bronze,Online,2.3,25100,5
CUST0341,Nordjylland,Bronze,In-store,5.8,24800,3
CUST0342,Fyn,Platinum,In-store,3.4,35100,3
CUST0343,Midtjylland,Silver,Online,10.8,40000,5
CUST0344,Sjælland,Bronze,In-store,2.6,10100,4
CUST0345,Hovedstaden,Gold,In-store,6.7,36700,5
CUST0346,Midtjylland,Bronze,In-store,3.7,13600,4
CUST0347,Syddanmark,Bronze,In-store,5.9,19900,5
CUST0348,Hovedstaden,Gold,Online,2.6,23300,4
CUST0349,Midtjylland,Silver,Online,3.4,13200,2
CUST0350,Midtjylland,Platinum,Online,3.2,38800,5
